0,1,2,3
BioShock,8.7,2007,"2K Boston, Inc"
ESPN NFL 2K5,8.7,2004,"Visual Concepts Entertainment, Inc."
Undertale,8.7,2015,
The Witcher 2: Assassins of Kings (NSFW),8.7,2011,CD Projekt RED Sp. z o.o.
Advance Wars 2: Black Hole Rising,8.7,2003,"Intelligent Systems Co., Ltd."
Stardew Valley,8.7,2016,ConcernedApe LLC
Ninja Gaiden,8.7,2004,Team Ninja
Disco Elysium,8.7,2019,Zaum Studio OÜ
Rez Infinite,8.7,2016,Resonair Inc.
Alan Wake II,8.7,2023,Remedy Entertainment Oyj
Shadow of the Colossus,8.7,2005,Team Ico
Final Fantasy IX,8.7,2000,"Square Co., Ltd."
Inside,8.7,2016,Playdead ApS
Demon's Souls,8.7,2020,"Bluepoint Games, Inc."
Final Fantasy XII,8.7,2006,"Square Enix Co., Ltd."
Uncharted 3: Drake's Deception,8.7,2011,"Naughty Dog, Inc."
NBA Street V3,8.7,2005,Electronic Arts Canada
Baldur's Gate II: Shadows of Amn,8.7,2000,BioWare Corporation
Death Stranding: Director's Cut,8.7,2021,"Kojima Productions Co., Ltd."
Half-Life 2,8.7,2004,Valve Corporation
Burnout 3: Takedown,8.7,2004,Criterion Software Ltd.
The Legend of Zelda: The Wind Waker,8.7,2002,Nintendo EAD
Radiant Silvergun,8.6,1998,"Treasure Co., Ltd."
Super Mario 3D World + Bowser’s Fury,8.6,2021,Nintendo EPD
Ori and the Blind Forest,8.6,2015,Moon Studios GmbH
Super Mario World: Super Mario Advance 2,8.6,2001,Nintendo R&D2
Return of the Obra Dinn,8.6,2018,"3909, LLC."
NFL 2K3,8.6,2002,"Visual Concepts Entertainment, Inc."
Dead Space 2,8.6,2011,Visceral Games (Redwood Shores)
Neon White,8.6,2022,Angel Matrix LLC
Super Mario Maker,8.6,2015,Nintendo EAD
Pushmo,8.6,2011,"Intelligent Systems Co., Ltd."
Dead Space,8.6,2023,Motive Studios
Theatrhythm: Final Bar Line,8.6,2023,"indieszero Co., Ltd."
Cocoon,8.6,2023,Geometric Interactive
Katana Zero,8.6,2019,Askiisoft
Ogre Battle 64: Person of Lordly Caliber,8.6,1999,Quest Corporation
Slay the Princess,8.6,2023,"Black Tabby Games, LLC"
Mario Kart 8,8.6,2014,Nintendo EAD
Project Gotham Racing 3,8.6,2005,"Bizarre Creations, Ltd."
Grand Theft Auto IV,8.6,2008,Rockstar North Ltd.
Super Mario World,8.6,1990,"Nintendo Co., Ltd."
Elite Beat Agents,8.6,2006,iNiS corporation
Ratchet & Clank Future: A Crack in Time,8.6,2009,"Insomniac Games, Inc."
Madden NFL 2002,8.6,2001,EA Tiburon
Call of Duty 4: Modern Warfare,8.6,2007,"Infinity Ward, Inc."
The Legend of Zelda: Majora's Mask 3D,8.6,2015,"Grezzo Co., Ltd."
Devil May Cry 5,8.6,2019,"Capcom Co., Ltd."
Yakuza: Kiwami 2,8.6,2017,Ryu ga Gotoku Studio
Braid,8.6,2008,Number None Inc.
Dead Space 2: Limited Edition,8.6,2011,
Madden NFL 2005,8.6,2004,EA Tiburon
Wajas,8.6,2006,"Wajas, Inc"
Doom Eternal,8.6,2020,"id Software, Inc."
Pikmin 3,8.6,2013,Nintendo EAD
Ghost of Tsushima: Director's Cut,8.6,2021,Sucker Punch Productions LLC
The Legend of Zelda: Majora's Mask,8.6,2000,Nintendo EAD
The Cat Lady (NSFW),8.6,2012,Harvester Games
Castlevania: Aria of Sorrow,8.6,2003,"Konami Computer Entertainment Tokyo, Inc."
Pentiment,8.6,2022,"Obsidian Entertainment, Inc."
Pokémon SoulSilver Version,8.6,2009,"Creatures, Inc."
Monster Hunter: World,8.6,2018,"Capcom Co., Ltd."
